ISBN,title,author,year,total_ratings,average_rating
0064409430,"The Magician's Nephew (The Chronicles of Narnia, Book 1, Full-Color Collector's Edition)",C. S. Lewis,2000,5,8.8
0609604074,Trans-Sister Radio,Chris A.  Bohjalian,2000,5,8.8
0140350047,The Secret Garden (Puffin Classics),Frances Hodgson Burnett,1982,5,8.8
0553227971,Far Pavilions,M. M. Kaye,1984,5,8.8
1550810510,Random Passage,Bernice Morgan,1992,5,8.8
3453863712,Die Orks.,Stan Nicholls,2002,5,8.8
2020385805,Neige,Maxence Fermine,2000,5,8.8
1581346085,The Passion of Jesus Christ: Fifty Reasons Why He Came to Die,John Piper,2004,5,8.8
0440507162,The Nitpickers Guide for Next Generation Trekkers,Phil Farrand,1995,5,8.8
0380013207,The Lathe of Heaven,Ursula K. Le Guin,1995,5,8.8
0553274295,Where the Red Fern Grows,Wilson Rawls,1984,38,8.79
0375725849,Perfume: The Story of a Murderer (Vintage International),Patrick Suskind,2001,19,8.79
0451190556,The Green Mile: The Bad Death of Eduard Delacroix (Green Mile Series),Stephen King,1996,19,8.79
0064471098,The Silver Chair,C. S. Lewis,1994,14,8.79
0141301155,Charlie and the Chocolate Factory (Puffin Novels),Roald Dahl,1998,14,8.79
0836221311,Last Chapter and Worse,Gary Larson,1996,14,8.79
0836218515,Prehistory of the Far Side,Gary Larson,1989,14,8.79
0553272535,Night,Elie Wiesel,1982,55,8.78
0553287893,Rendezvous with Rama,Arthur C. Clarke,1990,18,8.78
006092988X,A Tree Grows in Brooklyn,Betty Smith,1998,18,8.78
0671039725,Carrie,Stephen King,2002,18,8.78
0446516570,Up Country: A Novel,Nelson DeMille,2002,9,8.78
0451527747,Alice's Adventures in Wonderland and Through the Looking Glass,Lewis Carroll,2000,9,8.78
193212800X,Crossing Over,John Edward,2002,9,8.78
0553573926,Vertical Run,Joseph R. Garber,1996,9,8.78
0385721234,Como Agua Para Chocolate/Like Water for Chocolate,Laura Esquivel,2001,9,8.78
8420616893,El Guardian Entre El Centeno,J. D. Salinger,1999,9,8.78
0553289322,Scandal,Amanda Quick,1991,9,8.78
0385302304,Outlander,DIANA GABALDON,1991,9,8.78
0020442009,Horse and His Boy,C. S. Lewis,1970,9,8.78
0062516590,"The Legacy of Luna: The Story of a Tree, a Woman and the Struggle to Save the Redwoods",Julia Hill,2001,9,8.78
014018869X,Cold Comfort Farm,Stella Gibbons,1995,9,8.78
0385494785,Into Thin Air : A Personal Account of the Mt. Everest Disaster,JON KRAKAUER,1999,9,8.78
0836217357,Days Are Just Packed : A Calvin and Hobbes Collection (Calvin and Hobbes),Bill Watterson,1993,9,8.78
055358183X,The Bride and the Beast,TERESA MEDEIROS,2001,9,8.78
031286504X,I Am Legend,Richard Matheson,1997,9,8.78
0345453409,Dying to Please,LINDA HOWARD,2003,9,8.78
0393316041,"\Surely You're Joking, Mr. Feynman!\"": Adventures of a Curious Character""",Richard P. Feynman,1997,9,8.78
0425134350,Patriot Games,Tom Clancy,1992,9,8.78
0451160959,Stand,Stephen King,1980,9,8.78
0679767398,"South of the Border, West of the Sun",Haruki Murakami,2000,9,8.78
0380002930,Watership Down,Richard Adams,1976,73,8.77
0440212561,Outlander,DIANA GABALDON,1992,69,8.77
0553577123,The Diary of a Young Girl: The Definitive Edition,Anne Frank,1997,13,8.77
0671776975,A RIVER RUNS THROUGH IT AND OTHER STORIES : AND OTHER STORIES,Norman Maclean,1992,13,8.77
034544356X,"Seduced By Moonlight (Hamilton, Laurell K)",LAURELL K. HAMILTON,2004,13,8.77
0441790348,Stranger in a Strange Land (Remembering Tomorrow),Robert A. Heinlein,1995,46,8.76
0316693006,Four Blind Mice,James Patterson,2002,37,8.76
0440404193,"Are You There God?  It's Me, Margaret",JUDY BLUME,1971,21,8.76
0060830956,Brave New World,Aldous Huxley,1984,17,8.76
0525947647,Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right,Al Franken,2003,56,8.75
0609608444,"The Devil in the White City : Murder, Magic, and Madness at the Fair That Changed America (Illinois)",ERIK LARSON,2003,28,8.75
0679879242,"The Golden Compass (His Dark Materials, Book 1)",PHILIP PULLMAN,1996,20,8.75
0380978415,"Fluke : Or, I Know Why the Winged Whale Sings",Christopher Moore,2003,16,8.75
0345333926,Ringworld,Larry Niven,1990,16,8.75
0064400565,Stuart Little,E. B. White,1974,12,8.75
0553148001,The Clan of the Cave Bear : a novel,Jean M. Auel,1981,12,8.75
1583224890,9-11,Noam Chomsky,2001,12,8.75
0671746065,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1991,12,8.75
0842329161,Apollyon: The Destroyer Is Unleashed (Left Behind #5),Tim Lahaye,1999,12,8.75
0553212737,Emma,JANE AUSTEN,1984,12,8.75
0786916095,Dragons of Winter Night (Dragonlance: Dragonlance Chronicles),Margaret Weis,2000,12,8.75
0142004030,Lost in a Good Book (Thursday Next Novels (Penguin Books)),Jasper Fforde,2004,12,8.75
0440403278,Number the Stars (Yearling Newbery),Lois Lowry,1990,12,8.75
0440241006,Persuader,LEE CHILD,2004,8,8.75
0553212710,Dracula (Bantam Classics),BRAM STOKER,1983,8,8.75
0064408183,Weetzie Bat (10th Anniversary Edition),Francesca Lia Block,1999,8,8.75
0440428130,Freckle Juice,JUDY BLUME,1978,8,8.75
0786866462,A Density of Souls,Christopher Rice,2000,8,8.75
0060013125,Night Watch,Terry Pratchett,2003,8,8.75
0684196387,Two for the Dough (Stephanie Plum Novels (Hardcover)),Janet Evanovich,1996,8,8.75
0743417593,Devil's Knot : The True Story of the West Memphis Three,Mara Leveritt,2002,8,8.75
0380973642,Smoke &amp; Mirrors: Short Fictions and Illusions,Neil Gaiman,1998,8,8.75
0380973634,Neverwhere,Neil Gaiman,1997,8,8.75
0140071083,The Haunting of Hill House,Shirley Jackson,1984,8,8.75
0375411070,Basket Case,CARL HIAASEN,2002,8,8.75
0688084923,"Morning, Noon, and Night",Sidney Sheldon,1995,8,8.75
0525947655,A Perfect Day,Richard Paul Evans,2003,8,8.75
0679442588,All Over but the Shoutin',Rick Bragg,1997,8,8.75
1882723007,Embraced by the Light,Betty J. Eadie,1992,8,8.75
0553270931,Still Life with  Woodpecker,TOM ROBBINS,1984,8,8.75
0553278398,Prelude to Foundation (Foundation Novels (Paperback)),ISAAC ASIMOV,1989,8,8.75
0943233437,Random Acts of Kindness,Conari Press,1993,8,8.75
0140185232,The Razor's Edge (Penguin Twentieth-Century Classics),W. Somerset Maugham,1992,8,8.75
0345388771,Primal Fear,William Diehl,1996,8,8.75
0890876789,Inspiration Sandwich: Stories to Inspire Our Creative Freedom,Sark,1992,8,8.75
0061093084,Everville : The Second Book of the Art,Clive Barker,1995,8,8.75
0064407691,"The Miserable Mill (A Series of Unfortunate Events, Book 4)",Lemony Snicket,2000,19,8.74
0440111498,Cat's Cradle,Kurt Vonnegut,1997,19,8.74
0312265867,To the Nines: A Stephanie Plum Novel,Janet Evanovich,2003,45,8.73
0345305183,On a Pale Horse,Piers Anthony,1984,11,8.73
0684801051,TIME AND AGAIN,Jack Finney,1995,11,8.73
0312303467,Bet Me,Jennifer Crusie,2004,11,8.73
055323370X,Emily of New Moon,L.M. MONTGOMERY,1983,11,8.73
051513452X,The Lunatic Cafe (Anita Blake Vampire Hunter (Paperback)),Laurell K. Hamilton,2002,11,8.73
0553575023,Charming the Prince,TERESA MEDEIROS,1999,11,8.73
0812968379,Funny in Farsi : A Memoir of Growing Up Iranian in America,FIROOZEH DUMAS,2004,11,8.73
0812515285,A Fire Upon The Deep (Zones of Thought),Vernor Vinge,1993,11,8.73
0553251481,Jitterbug Perfume,Tom Robbins,1985,11,8.73
0345342968,Fahrenheit 451,RAY BRADBURY,1987,111,8.72
0440219078,The Giver (21st Century Reference),LOIS LOWRY,1994,65,8.72
0375701907,Straight Man : A Novel (Vintage Contemporaries),RICHARD RUSSO,1998,18,8.72
0767902513,A Walk in the Woods: Rediscovering America on the Appalachian Trail,Bill Bryson,1998,18,8.72
067172262X,Hamlet,William Shakespeare,1992,18,8.72
0394820371,The Phantom Tollbooth,Norton Juster,1993,38,8.71
0553348981,Jitterbug Perfume,TOM ROBBINS,1990,24,8.71
0740704818,The Blue Day Book,Bradley Trevor Greive,2000,21,8.71
0679721037,Hiroshima,John Hersey,1989,21,8.71
0385504470,Lullaby : A Novel,CHUCK PALAHNIUK,2002,17,8.71
8478886451,Harry Potter y el cÃ¡liz de fuego,J. K. Rowling,2001,14,8.71
0836218353,Yukon Ho!,Bill Watterson,1989,14,8.71
0836220498,Night Of Crash-Test Dummies,Gary Larson,1988,14,8.71
0060393009,Foley Is Good: And the Real World Is Faker Than Wrestling,Mick Foley,2001,7,8.71
0684829924,DREAM BOY: A Novel,Jim Grimsley,1997,7,8.71
0786010924,All the Way Home,Wendy Corsi Staub,2000,7,8.71
0345403339,Saving Grace,LEE SMITH,1996,7,8.71
0609805363,Beyond Civilization: Humanity's Next Great Adventure,Daniel Quinn,2000,7,8.71
0671025368,The Coldest Winter Ever,Sister Souljah,2000,7,8.71
0399151540,Divided in Death,J. D. Robb,2004,7,8.71
0345358805,King of the Murgos (Malloreon (Paperback Random House)),David Eddings,1995,7,8.71
0446359203,Carrion Comfort,Dan Simmons,1990,7,8.71
0786889160,"No Shirt, No Shoes, No Problem!",Jeff Foxworthy,1997,7,8.71
0451523202,Alice's Adventures in Wonderland and Through the Looking Glass (Signet Classics (Paperback)),Lewis Carroll,1995,7,8.71
0449911535,The Handmaid's Tale,Margaret Atwood,1996,7,8.71
0451458990,Shadows and Light,Anne Bishop,2002,7,8.71
0671872656,The RETURN (REMEMBER ME 2) : THE RETURN,Christopher Pike,1994,7,8.71
0140012133,Three Men in a Boat: To Say Nothing of the Dog!,Jerome Klapka Jerome,1978,7,8.71
0385336489,Niagara Falls All Over Again,Elizabeth McCracken,2002,7,8.71
0679729771,Maus a Survivors Tale: And Here My Troubles Begin (Maus),Art Spiegelman,1992,7,8.71
0553280325,Something Wicked This Way Comes,Ray Bradbury,1983,7,8.71
0553288202,The Fall of Hyperion,Dan Simmons,1991,7,8.71
0671567829,The Bookman's Wake (Cliff Janeway Novels (Paperback)),John Dunning,1996,7,8.71
0743255453,"The Price of Loyalty: George W. Bush, the White House, and the Education of Paul O'Neill",Ron Suskind,2004,7,8.71
0812524268,"Red Prophet (Tales of Alvin Maker, Book 2)",Orson Scott Card,1992,7,8.71
0553263978,"Trail of the Spanish Bit : Spanish Bit Saga, Number 1 (Spanish Bit Saga of the Plains Indians)",DON COLDSMITH,1987,7,8.71
2264027134,Haute FidÃ?Â©litÃ?Â©,Nick Hornby,1999,7,8.71
0373834691,Caught In The Act,Lori Foster,2001,7,8.71
0836217632,The Curse of Madame C : A Far Side Collection,Gary Larson,1994,7,8.71
0441001866,"Martin the Warrior (Redwall, Book 6)",Brian Jacques,1996,7,8.71
0394756827,"Godel, Escher, Bach: An Eternal Golden Braid",Douglas R. Hofstadter,1989,7,8.71
0449221180,Native Tongue,Carl Hiaasen,1992,7,8.71
0671552228,And Then There Were None,Agatha Christie,1984,7,8.71
0836251822,"I'M Not Anti-Business, I'M Anti-Idiot-Dilbert",Scott Adams,1998,7,8.71
0156029065,Baudolino,Umberto Eco,2003,7,8.71
0553295098,The Gap into Conflict: The Real Story (Gap),Stephen R. Donaldson,1992,7,8.71
0440215625,Dragonfly in Amber,DIANA GABALDON,1993,46,8.7
0452279178,"Wizard and Glass (The Dark Tower, Book 4)",Stephen King,1997,23,8.7
0842314296,Hinds' Feet on High Places,Hannah Hurnard,1997,10,8.7
0312980388,Warlock : A Novel of Ancient Egypt,Wilbur Smith,2002,10,8.7
0671744623,The Heiress,Jude Deveraux,1995,10,8.7
0060012781,A Cook's Tour : Global Adventures in Extreme Cuisines,Anthony Bourdain,2002,10,8.7
3257218370,Gottes Werk Und Teufels Beitrag,John Irving,2000,10,8.7
0140348107,My Side of the Mountain,Jean Craighead George,2000,10,8.7
0440201969,Bluebeard,Kurt Vonnegut,1988,10,8.7
0836220854,Far Side Gallery 2,Gary Larson,2003,10,8.7
1558743790,A 3rd Serving of Chicken Soup for the Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,1996,10,8.7
0836220730,It Came From The Far Side,Gary Larson,1986,10,8.7
2070388905,Comme un roman,Daniel Pennac,1995,10,8.7
0763618292,Witch Child,Celia Rees,2002,10,8.7
0743260244,Against All Enemies: Inside America's War on Terror,Richard A. Clarke,2004,10,8.7
0451169530,The Stand: Complete and Uncut,Stephen King,1991,52,8.69
0440223202,Evening Class,Maeve Binchy,1998,32,8.69
0812550757,Speaker for the Dead (Ender Wiggins Saga (Paperback)),Orson Scott Card,1994,16,8.69
0312979479,And Then There Were None : A Novel,Agatha Christie,2001,16,8.69
0446353205,The Charm School,Nelson DeMille,1989,13,8.69
0064471071,The Voyage of the Dawn Treader (rack) (Narnia),C. S. Lewis,1994,13,8.69
0440998050,A Wrinkle in Time,Madeleine L'Engle,1976,60,8.68
0553573403,"A Game of Thrones (A Song of Ice and Fire, Book 1)",George R.R. Martin,1997,34,8.68
0375703764,House of Leaves,Mark Z. Danielewski,2000,31,8.68
0380001411,Christy,Catherine Marshall,1976,22,8.68
1573229725,Fingersmith,Sarah Waters,2002,19,8.68
0070212570,Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,1989,57,8.67
0671617028,The Color Purple,Alice Walker,1985,43,8.67
0345413369,"The Subtle Knife (His Dark Materials, Book 2)",PHILIP PULLMAN,1998,33,8.67
0140039589,Watership Down,Richard Adams,1974,18,8.67
0380709562,"Ramona Quimby, Age 8 (Avon Camelot Books (Paperback))",Beverly Cleary,1992,15,8.67
0807083054,Kindred (Black Women Writers Series),Octavia Butler,1988,12,8.67
1853261580,The Little Prince (Wordsworth Collection),Antoine de Saint-ExupÃ©ry,1998,12,8.67
0865471185,West With the Night,Beryl Markham,1983,12,8.67
0061094234,Dirt,Stuart Woods,1997,9,8.67
0671739743,The Velvet Promise,Jude Deveraux,1991,9,8.67
014034019X,The BFG,Roald Dahl,1985,9,8.67
0552133256,Strata,Terry Pratchett,1988,9,8.67
0836213122,There's Treasure Everywhere--A Calvin and Hobbes Collection,Bill Watterson,1996,9,8.67
0375821813,Hoot (Newbery Honor Book),CARL HIAASEN,2002,9,8.67
0060504080,Small Wonder : Essays,Barbara Kingsolver,2003,9,8.67
8433914545,El Palacio de La Luna,Paul Auster,1996,9,8.67
0380811081,Again The Magic,Lisa Kleypas,2004,9,8.67
0671741926,The Mote in God's Eye,Larry Niven,1991,9,8.67
0446352764,Double Whammy,Carl Hiaasen,1989,9,8.67
0345384210,The Dream Cycle of H.P. Lovecraft: Dreams of Terror and Death,H. P. Lovecraft,1995,9,8.67
0670910236,Priestess of Avalon,Marion Zimmer Bradley,2001,9,8.67
0449300021,Les Miserables,VICTOR HUGO,1982,9,8.67
0440211697,Phantom,Susan Kay,1993,9,8.67
0425168131,Conspiracy in Death,J. D. Robb,2003,9,8.67
0893753564,Christmas Carol,Charles Dickens,1980,9,8.67
0553561669,Ishmael,Daniel Quinn,1993,9,8.67
081257558X,"Winter's Heart (The Wheel of Time, Book 9)",Robert Jordan,2002,9,8.67
0345419081,The Eight,KATHERINE NEVILLE,1997,6,8.67
0140390839,The Adventures of Tom Sawyer,Mark Twain,1987,6,8.67
0066209773,"The Master Butchers Singing Club : A Novel (Erdrich, Louise)",Louise Erdrich,2003,6,8.67
0020442106,The Last Battle (The Chronicles of Narnia Book 7),C. S. Lewis,1970,6,8.67
0380776839,It Had to Be You,Susan Elizabeth Phillips,2002,6,8.67
044018293X,Suffer the Children,John Saul,1986,6,8.67
347354034X,Die Welle,Rhue,1998,6,8.67
0743437128,Wild Orchids : A Novel,Jude Deveraux,2003,6,8.67
1931686351,Night of a Thousand Boyfriends (Date With Destiny Aventures),Miranda Clarke,2003,6,8.67
1573222518,"Grass for His Pillow: Tales of the Otori, Book 2",Lian Hearn,2003,6,8.67
0373240228,"Fall Of Shane Mackade (The Mackade Brothers) (Silhouette Special Edition, No 1022)",Nora Roberts,1996,6,8.67
0140186484,Twenty Love Poems: And a Song of Despair (Twentieth Century Classics),Pablo Neruda,1993,6,8.67
0812544501,Tam Lin (The Fairy Tale Series),Pamela Dean,1992,6,8.67
0425194345,Photo Finished,Laura Childs,2004,6,8.67
0345440137,I'm the One That I Want,MARGARET CHO,2001,6,8.67
092963408X,The Recycler's Handbook: Simple Things You Can Do,EarthWorks Group,1990,6,8.67
0553210114,The Red Badge of Courage (Bantam Classics),STEPHEN CRANE,1981,6,8.67
014006690X,The Women of Brewster Place (Penguin Contemporary American Fiction Series),Gloria Naylor,1983,6,8.67
1400032806,Under the Banner of Heaven : A Story of Violent Faith,JON KRAKAUER,2004,6,8.67
0060961325,The Celluloid Closet: Homosexuality in the Movies,Vito Russo,1987,6,8.67
0345321383,Bridge of Birds,Barry Hughart,1990,6,8.67
0141309814,The Hero and the Crown,Robin McKinley,2000,6,8.67
0140328718,James and the Giant Peach,Roald Dahl,1988,6,8.67
0689859376,"The Seeing Stone (The Spiderwick Chronicles, Book 2)",Tony DiTerlizzi,2003,6,8.67
0156465116,The Little Prince,Antoine de Saint-ExupÃ©ry,1982,6,8.67
0312194390,"The Autobiography of Henry VIII: With Notes by His Fool, Will Somers : A Novel",Margaret George,1998,6,8.67
0743246438,The Summer I Dared: A Novel,Barbara Delinsky,2004,6,8.67
0812555104,Yon Ill Wind : A Xanth Novel (Xanth),Piers Anthony,1997,6,8.67
0671722816,Othello,William Shakespeare,1993,6,8.67
0140621377,"\The Happy Prince\"" and Other Stories (Penguin Popular Classics)""",Oscar Wilde,1994,6,8.67
0451450124,Wyrd Sisters,Terry Pratchett,1996,6,8.67
0345453425,Cry No More,LINDA HOWARD,2004,6,8.67
0812563190,Elvenblood (Halfblood Chronicles),Andre Norton,1996,6,8.67
0679437851,An Anthropologist on Mars: Seven Paradoxical Tales,Oliver W. Sacks,1995,6,8.67
044021985X,"Tomorrow, When The War Began",JOHN MARSDEN,1996,6,8.67
0875420508,Buckland's Complete Book of Witchcraft (Llewellyn's Practical Magick),Raymond Buckland,1986,6,8.67
0679732187,"Absalom, Absalom!: The Corrected Text (Vintage International)",William Faulkner,1990,6,8.67
0451525884,Pride and Prejudice,Jane Austen,1996,6,8.67
0060928832,From Dawn to Decadence : 500 Years of Western Cultural Life 1500 to the Present,Jacques Barzun,2001,6,8.67
0451457935,Stardoc II: Beyond Varallan (Stardoc (Paperback)),S. L. Viehl,2000,6,8.67
014014773X,The Things They Carried (Contemporary American Fiction),Tim O'Brien,1991,6,8.67
8432216062,El Perfume: Historia De UN Asesino,Patrick Suskind,2003,6,8.67
038070952X,Ramona and Her Mother (Ramona Quimby (Paperback)),Beverly Cleary,1990,6,8.67
0425108589,Appointment With Death: A Hercule Poirot Mystery (Hercule Poirot Mysteries (Paperback)),Agatha Christie,2001,6,8.67
0679417648,Advanced French for Exceptional Cats,Henri De LA Barbe,1992,6,8.67
0312965788,All Creatures Great and Small,James Herriot,1998,6,8.67
0517189682,Anne of Green Gables (Children's Classics),L.M. MONTGOMERY,1998,6,8.67
0553569902,Lion's Bride,IRIS JOHANSEN,1996,6,8.67
037371128X,The Secret Daughter  (Raising Cane),Roz Denny Fox,2003,6,8.67
0066620996,Good to Great: Why Some Companies Make the Leap... and Others Don't,Jim Collins,2001,6,8.67
0553565079,Forward the Foundation (Foundation Novels (Paperback)),ISAAC ASIMOV,1994,6,8.67
0679722319,Where I'm Calling from: New and Selected Stories (Vintage Contemporaries),Raymond Carver,1989,6,8.67
0140621334,"Three Men in a Boat, to Say Nothing of the Dog! (Penguin Popular Classics)",Jerome K. Jerome,1994,6,8.67
0451190491,The Two Dead Girls (Green Mile Series),Stephen King,1996,29,8.66
0449212602,The Handmaid's Tale,Margaret Atwood,1989,80,8.65
0451163966,One Flew Over the Cuckoo's Nest,Ken Kesey,1989,40,8.65
0553273914,The House of the Spirits,Isabel Allende,1986,37,8.65
0842329269,Apollyon: The Destroyer Is Unleashed (Left Behind No. 5),Jerry Jenkins,2000,26,8.65
0020442203,"Lion, the Witch and the Wardrobe",C.S. Lewis,1970,17,8.65
0671001132,DEAD BY SUNSET : DEAD BY SUNSET,Ann Rule,1996,17,8.65
0425105334,The Talisman,Stephen King,1991,22,8.64
015602943X,The Time Traveler's Wife (Harvest Book),Audrey Niffenegger,2004,22,8.64
0345350685,The Autobiography of Malcolm X,Malcolm X,1989,22,8.64
1558744592,A 4th Course of Chicken Soup for the Soul: 101 More Stories to Open the Heart and Rekindle the Spirit,Jack Canfield,1997,14,8.64
0451192001,How Stella Got Her Groove Back,Terry McMillan,1997,14,8.64
1400030382,The Piano Tuner : A Novel,DANIEL MASON,2003,14,8.64
1558745432,A 5th Portion of Chicken Soup for the Soul : 101 Stories to Open the Heart and Rekindle the Spirit,Jack Canfield,1998,14,8.64
0440901588,A Swiftly Tilting Planet,Madeleine L'Engle,1979,14,8.64
1861976127,"Eats, Shoots and Leaves: The Zero Tolerance Approach to Punctuation",Lynne Truss,2004,14,8.64
0395927218,The Namesake,Jhumpa Lahiri,2003,14,8.64
0345341678,The White Dragon (Dragonriders of Pern Vol 3),ANNE MCCAFFREY,1986,11,8.64
0515134449,The Laughing Corpse (Anita Blake Vampire Hunter (Paperback)),Laurell K. Hamilton,1994,11,8.64
0312950586,Every Living Thing,James Herriot,1996,11,8.64
0670032891,The Well of Lost Plots: A Thursday Next Novel,Jasper Fforde,2004,11,8.64
0486264785,The Importance of Being Earnest (Dover Thrift Editions),Oscar Wilde,1990,11,8.64
0394558235,"Queen of the Damned (Vampire Chronicles, Book III)",Anne Rice,1988,11,8.64
0761121323,"What to Expect When You're Expecting, Third Edition",Heidi E. Murkoff,2002,11,8.64
084394952X,Dark Legend,Christine Feehan,2002,11,8.64
0679763309,An Unquiet Mind,Kay R. Jamison,1997,11,8.64
0440945151,Killing Mr. Griffin (Laurel Leaf Books),Lois Duncan,1993,11,8.64
0312113420,James Herriot's Cat Stories,James Herriot,1994,11,8.64
0684859718,Deadly Decisions,Kathy Reichs,2000,11,8.64
0060973897,Lakota Woman,Dog Mary Crow,1991,11,8.64
0440900794,The Giver,Lois Lowry,1994,11,8.64
0345422783,How Reading Changed My Life (Library of Contemporary Thought),Anna Quindlen,1998,11,8.64
0743222245,Living History,Hillary Rodham Clinton,2003,11,8.64
0312954468,River God,Wilbur A. Smith,1995,11,8.64
0786808012,"Artemis Fowl (Artemis Fowl, Book 1)",Eoin Colfer,2001,11,8.64
0441735762,The Rowan (Ace Science Fiction),Anne McCaffrey,1991,11,8.64
0156106809,The Baron in the Trees,Italo Calvino,1977,11,8.64
0061057649,Feet of Clay (Discworld Novels (Paperback)),Terry Pratchett,1997,11,8.64
8478884459,Harry Potter y la piedra filosofal,J. K. Rowling,1999,11,8.64
042507160X,Dune (Dune Chronicles (Berkley Paperback)),Frank Herbert,1984,11,8.64
0345350499,The Mists of Avalon,MARION ZIMMER BRADLEY,1987,67,8.63
0842329250,Soul Harvest: The World Takes Sides (Left Behind No. 4),Tim Lahaye,1999,35,8.63
0060248025,Falling Up,Shel Silverstein,1996,24,8.63
0740723367,The Meaning Of Life,Bradley Trevor Greive,2002,19,8.63
0553213180,Anne's House of Dreams,L.M. MONTGOMERY,1983,19,8.63
0553579908,"A Clash of Kings (A Song of Fire and Ice, Book 2)",George R. R. Martin,2000,16,8.63
0380698714,Sideways Stories from Wayside School (Wayside School),Louis Sachar,1985,16,8.63
0020518706,The Sun Also Rises (A Scribner classic),Ernest Hemingway,1982,8,8.63
156402976X,Catkin,Antonia Barber,1996,8,8.63
0842384065,Soon,Jerry B. Jenkins,2003,8,8.63
0345458303,Beginner's Luck (Ballantine Reader's Circle),Laura Pedersen,2003,8,8.63
1550225480,Ghost Rider: Travels on the Healing Road,Neil Peart,2002,8,8.63
074347628X,The Twilight Before Christmas,Christine Feehan,2003,8,8.63
0671477099,HITCHHIK GD GALAXY (Hitchhiker's Trilogy (Paperback)),Douglas Adams,1983,8,8.63
0886774616,Catfantastic II (Daw Book Collectors),Andre Norton,1994,8,8.63
0316154601,Lost Light,Michael Connelly,2003,8,8.63
0836220676,Valley Of The Far Side,Gary Larson,1985,8,8.63
0452282276,Round Robin: An Elm Creek Quilts Novel (Elm Creek Quilters Novels),Jennifer Chiaverini,2001,8,8.63
0812580354,Calculating God,Robert J. Sawyer,2001,8,8.63
0140288503,Black Hawk Down: A Story of Modern War,Mark Bowden,2000,8,8.63
0684717972,Farewell to Arms,Ernest Hemingway,1929,8,8.63
0345308980,Foundation's Edge (Foundation Novels (Paperback)),ISAAC ASIMOV,1983,8,8.63
0446607258,Mythology : Timeless Tales of Gods and Heroes,Edith Hamilton,1999,8,8.63
0679750789,The Tightwad Gazette II: Promoting Thrift As a Viable Alternative Lifestyle,Amy Dacyczyn,1995,8,8.63
0061092193,Men at Arms,Terry Pratchett,1997,8,8.63
0385121679,The Shining,Stephen King,1993,8,8.63
0060294671,"Princess in Love (The Princess Diaries, Vol. 3)",Meg Cabot,2002,8,8.63
0143035002,Anna Karenina (Oprah's Book Club),Leo Tolstoy,2004,8,8.63
0684871483,Kokology : More of the Game of Self-Discovery,Tadahiko Nagao,2000,8,8.63
2070380599,Au bonheur des ogres (Collectiom Folio),Daniel Pennac,1993,8,8.63
0375724443,Ava's Man,Rick Bragg,2002,8,8.63
0345348036,The Princess Bride: S Morgenstern's Classic Tale of True Love and High Adventure,WILLIAM GOLDMAN,1987,52,8.62
0515136530,"Key of Valor (Roberts, Nora. Key Trilogy, 3.)",Nora Roberts,2003,45,8.62
0446530522,Cane River,Lalita Tademy,2001,21,8.62
0064471837,Sabriel (The Abhorsen Trilogy),Garth Nix,1997,21,8.62
0553379615,Into the Forest,JEAN HEGLAND,1998,13,8.62
0553280643,The Gate to Women's Country,Sheri S. Tepper,1997,13,8.62
051513449X,Guilty Pleasures (Anita Blake Vampire Hunter (Paperback)),Laurell K. Hamilton,1995,13,8.62
0553582917,Intensity,DEAN KOONTZ,2000,13,8.62
038001503X,One Hundred Years of Solitude,Gabriel Garcia Marquez,1970,13,8.62
0064410129,"The Carnivorous Carnival (A Series of Unfortunate Events, Book 9)",Lemony Snicket,2002,13,8.62
1844262553,Free,Paul Vincent,2003,49,8.61
0671727796,The Color Purple,Alice Walker,1990,49,8.61
0451191153,The Fountainhead,Ayn Rand,1996,28,8.61
0451190564,The Green Mile: Night Journey (Green Mile Series),Stephen King,1996,23,8.61
0671039741,Salem's Lot,Stephen King,1999,18,8.61
0061092177,Small Gods (Discworld Novels (Paperback)),Terry Pratchett,1994,18,8.61
0385484518,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",MITCH ALBOM,1997,136,8.6
0553375407,Ishmael: An Adventure of the Mind and Spirit,Daniel Quinn,1995,63,8.6
0060175400,The Poisonwood Bible,Barbara Kingsolver,1999,40,8.6
0385720920,Choke,CHUCK PALAHNIUK,2002,25,8.6
0525947299,No Second  Chance,Harlan Coben,2003,25,8.6
8445071416,El Hobbit,J. R. R. Tolkien,1991,20,8.6
0316155306,The Narrows: A Novel,Michael Connelly,2004,15,8.6
0380709546,Ramona the Pest (Ramona Quimby (Paperback)),Beverly Cleary,1992,10,8.6
0380811065,Lady Sophia's Lover,Lisa Kleypas,2002,10,8.6
0809117541,Hope for the Flowers,Trina Paulus,1973,10,8.6
0060084405,Bread Alone : A Novel,Judith R. Hendricks,2002,10,8.6
0670031208,Shepherds Abiding,Jan Karon,2003,10,8.6
0312243359,We Wish to Inform You That Tomorrow We Will be Killed With Our Families: Stories from Rwanda,Philip Gourevitch,1999,10,8.6
3423203668,Die fÃ?Â¼nfte Frau.,Henning Mankell,2000,10,8.6
